Show,Type,Revival,NYT rating,DN rating,Week 1 attendance,Award,Count
A Doll's House,Play,Yes,5,2.66667,87.13,No nomination,2
A Doll's House,Play,Yes,5,2.66667,87.13,Losing nomination,0
A Doll's House,Play,Yes,5,2.66667,87.13,Win,4
A Thousand Clowns,Play,Yes,1.66667,2,100,No nomination,6
A Thousand Clowns,Play,Yes,1.66667,2,100,Losing nomination,0
A Thousand Clowns,Play,Yes,1.66667,2,100,Win,0
A View From the Bridge,Play,Yes,4.66667,2.33333,88.44,No nomination,2
A View From the Bridge,Play,Yes,4.66667,2.33333,88.44,Losing nomination,2
A View From the Bridge,Play,Yes,4.66667,2.33333,88.44,Win,2
Ah Wilderness!,Play,Yes,3.66667,4.66667,68.14,No nomination,4
Ah Wilderness!,Play,Yes,3.66667,4.66667,68.14,Losing nomination,2
Ah Wilderness!,Play,Yes,3.66667,4.66667,68.14,Win,0
Amy's View,Play,No,3.66667,4.66667,90.72,No nomination,4
Amy's View,Play,No,3.66667,4.66667,90.72,Losing nomination,1
Amy's View,Play,No,3.66667,4.66667,90.72,Win,1
An American Daughter,Play,No,2.33333,2.33333,77.09,No nomination,5
An American Daughter,Play,No,2.33333,2.33333,77.09,Losing nomination,0
An American Daughter,Play,No,2.33333,2.33333,77.09,Win,1
Annie,Musical,Yes,1.66667,3,84.8,No nomination,5
Annie,Musical,Yes,1.66667,3,84.8,Losing nomination,1
Annie,Musical,Yes,1.66667,3,84.8,Win,0
Annie Get Your Gun,Musical,Yes,2,4.33333,89.2,No nomination,3
Annie Get Your Gun,Musical,Yes,2,4.33333,89.2,Losing nomination,1
Annie Get Your Gun,Musical,Yes,2,4.33333,89.2,Win,2
Art,Play,No,4.66667,4.66667,90.35,No nomination,3
Art,Play,No,4.66667,4.66667,90.35,Losing nomination,2
Art,Play,No,4.66667,4.66667,90.35,Win,1
Band in Berlin,Musical,No,1.66667,3.33333,48.38,No nomination,6
Band in Berlin,Musical,No,1.66667,3.33333,48.38,Losing nomination,0
Band in Berlin,Musical,No,1.66667,3.33333,48.38,Win,0
Barrymore,Play,No,4.33333,3.66667,53.69,No nomination,5
Barrymore,Play,No,4.33333,3.66667,53.69,Losing nomination,0
Barrymore,Play,No,4.33333,3.66667,53.69,Win,1
Cabaret,Musical,Yes,3.66667,5,92.19,No nomination,0
Cabaret,Musical,Yes,3.66667,5,92.19,Losing nomination,2
Cabaret,Musical,Yes,3.66667,5,92.19,Win,4
Candide,Musical,Yes,3,1.33333,82.61,No nomination,3
Candide,Musical,Yes,3,1.33333,82.61,Losing nomination,3
Candide,Musical,Yes,3,1.33333,82.61,Win,0
Chicago,Musical,Yes,5,5,97.02,No nomination,1
Chicago,Musical,Yes,5,5,97.02,Losing nomination,1
Chicago,Musical,Yes,5,5,97.02,Win,4
Closer,Play,No,1.66667,2.66667,88.91,No nomination,5
Closer,Play,No,1.66667,2.66667,88.91,Losing nomination,1
Closer,Play,No,1.66667,2.66667,88.91,Win,0
Death of a Salesman,Play,Yes,5,5,86.67,No nomination,0
Death of a Salesman,Play,Yes,5,5,86.67,Losing nomination,2
Death of a Salesman,Play,Yes,5,5,86.67,Win,4
Dream - The Johnny Mercer Musical,Musical revue,No,1.66667,2,72.53,No nomination,6
Dream - The Johnny Mercer Musical,Musical revue,No,1.66667,2,72.53,Losing nomination,0
Dream - The Johnny Mercer Musical,Musical revue,No,1.66667,2,72.53,Win,0
Electra,Play,Yes,4.66667,4.33333,92.97,No nomination,3
Electra,Play,Yes,4.66667,4.33333,92.97,Losing nomination,3
Electra,Play,Yes,4.66667,4.33333,92.97,Win,0
Eugene Onegin,Musical,Yes,,,40.66,No nomination,6
Eugene Onegin,Musical,Yes,,,40.66,Losing nomination,0
Eugene Onegin,Musical,Yes,,,40.66,Win,0
Footloose,Musical,No,1.33333,1.33333,70.07,No nomination,5
Footloose,Musical,No,1.33333,1.33333,70.07,Losing nomination,1
Footloose,Musical,No,1.33333,1.33333,70.07,Win,0
Forever Tango,Musical revue,No,2.66667,4,76.97,No nomination,6
Forever Tango,Musical revue,No,2.66667,4,76.97,Losing nomination,0
Forever Tango,Musical revue,No,2.66667,4,76.97,Win,0
Fosse!,Musical revue,No,3,4,97.24,No nomination,1
Fosse!,Musical revue,No,3,4,97.24,Losing nomination,4
Fosse!,Musical revue,No,3,4,97.24,Win,1
Getting and Spending,Play,No,1.66667,1.66667,30.83,No nomination,6
Getting and Spending,Play,No,1.66667,1.66667,30.83,Losing nomination,0
Getting and Spending,Play,No,1.66667,1.66667,30.83,Win,0
God Said Ha!,Play,No,4.66667,2.33333,50.1,No nomination,6
God Said Ha!,Play,No,4.66667,2.33333,50.1,Losing nomination,0
God Said Ha!,Play,No,4.66667,2.33333,50.1,Win,0
Golden Child,Play,No,2,1.66667,40.04,No nomination,4
Golden Child,Play,No,2,1.66667,40.04,Losing nomination,2
Golden Child,Play,No,2,1.66667,40.04,Win,0
High Society,Musical,No,1.66667,2,64.87,No nomination,4
High Society,Musical,No,1.66667,2,64.87,Losing nomination,2
High Society,Musical,No,1.66667,2,64.87,Win,0
Honour,Play,No,3.33333,3.33333,46.75,No nomination,4
Honour,Play,No,3.33333,3.33333,46.75,Losing nomination,2
Honour,Play,No,3.33333,3.33333,46.75,Win,0
Hughie,Play,Yes,4,2,101.58,No nomination,6
Hughie,Play,Yes,4,2,101.58,Losing nomination,0
Hughie,Play,Yes,4,2,101.58,Win,0
Into the Whirlwind,Play,No,,,,No nomination,6
Into the Whirlwind,Play,No,,,,Losing nomination,0
Into the Whirlwind,Play,No,,,,Win,0
It Ain't Nothin' But the Blues,Musical revue,No,4.33333,4.33333,49.4,No nomination,3
It Ain't Nothin' But the Blues,Musical revue,No,4.33333,4.33333,49.4,Losing nomination,3
It Ain't Nothin' But the Blues,Musical revue,No,4.33333,4.33333,49.4,Win,0
Ivanov,Play,Yes,4,1.66667,92.1,No nomination,5
Ivanov,Play,Yes,4,1.66667,92.1,Losing nomination,1
Ivanov,Play,Yes,4,1.66667,92.1,Win,0
Jackie - An American Life,Play,No,2.33333,1.66667,34.74,No nomination,6
Jackie - An American Life,Play,No,2.33333,1.66667,34.74,Losing nomination,0
Jackie - An American Life,Play,No,2.33333,1.66667,34.74,Win,0
Jekyll and Hyde,Musical,No,1.66667,4,67.76,No nomination,5
Jekyll and Hyde,Musical,No,1.66667,4,67.76,Losing nomination,1
Jekyll and Hyde,Musical,No,1.66667,4,67.76,Win,0
Juan Darien - A Carnival Mass,Musical,No,3.66667,4,50.76,No nomination,4
Juan Darien - A Carnival Mass,Musical,No,3.66667,4,50.76,Losing nomination,2
Juan Darien - A Carnival Mass,Musical,No,3.66667,4,50.76,Win,0
King David,Musical,No,2,2.33333,68.75,No nomination,6
King David,Musical,No,2,2.33333,68.75,Losing nomination,0
King David,Musical,No,2,2.33333,68.75,Win,0
Little Me,Musical,Yes,3,2.66667,90.61,No nomination,4
Little Me,Musical,Yes,3,2.66667,90.61,Losing nomination,1
Little Me,Musical,Yes,3,2.66667,90.61,Win,1
London Assurance,Play,Yes,4.66667,5,95.54,No nomination,3
London Assurance,Play,Yes,4.66667,5,95.54,Losing nomination,3
London Assurance,Play,Yes,4.66667,5,95.54,Win,0
Marlene,Musical,No,1.66667,2,56.26,No nomination,5
Marlene,Musical,No,1.66667,2,56.26,Losing nomination,1
Marlene,Musical,No,1.66667,2,56.26,Win,0
More to Love,Play,No,1.33333,2,,No nomination,6
More to Love,Play,No,1.33333,2,,Losing nomination,0
More to Love,Play,No,1.33333,2,,Win,0
Night Must Fall,Play,Yes,4.33333,1.66667,73.27,No nomination,6
Night Must Fall,Play,Yes,4.33333,1.66667,73.27,Losing nomination,0
Night Must Fall,Play,Yes,4.33333,1.66667,73.27,Win,0
Not About Nightingales,Play,No,4.33333,4,81.77,No nomination,2
Not About Nightingales,Play,No,4.33333,4,81.77,Losing nomination,4
Not About Nightingales,Play,No,4.33333,4,81.77,Win,0
On the Town,Musical,Yes,1.66667,1.66667,77.31,No nomination,5
On the Town,Musical,Yes,1.66667,1.66667,77.31,Losing nomination,1
On the Town,Musical,Yes,1.66667,1.66667,77.31,Win,0
Once Upon a Mattress,Musical,Yes,2,3.33333,91.71,No nomination,5
Once Upon a Mattress,Musical,Yes,2,3.33333,91.71,Losing nomination,1
Once Upon a Mattress,Musical,Yes,2,3.33333,91.71,Win,0
Parade,Musical,No,2,4.66667,62.87,No nomination,2
Parade,Musical,No,2,4.66667,62.87,Losing nomination,4
Parade,Musical,No,2,4.66667,62.87,Win,0
Peter Pan,Musical,Yes,3.33333,3.33333,93.2,No nomination,5
Peter Pan,Musical,Yes,3.33333,3.33333,93.2,Losing nomination,1
Peter Pan,Musical,Yes,3.33333,3.33333,93.2,Win,0
Play On!,Musical,No,2.33333,2.66667,79.9,No nomination,4
Play On!,Musical,No,2.33333,2.66667,79.9,Losing nomination,2
Play On!,Musical,No,2.33333,2.66667,79.9,Win,0
Present Laughter,Play,Yes,3,2,83.33,No nomination,5
Present Laughter,Play,Yes,3,2,83.33,Losing nomination,1
Present Laughter,Play,Yes,3,2,83.33,Win,0
Proposals,Play,No,2,3,56.94,No nomination,6
Proposals,Play,No,2,3,56.94,Losing nomination,0
Proposals,Play,No,2,3,56.94,Win,0
Ragtime,Musical,No,3,5,90.97,No nomination,0
Ragtime,Musical,No,3,5,90.97,Losing nomination,5
Ragtime,Musical,No,3,5,90.97,Win,1
Ring Around the Moon,Play,Yes,1.33333,1.33333,46.92,No nomination,5
Ring Around the Moon,Play,Yes,1.33333,1.33333,46.92,Losing nomination,1
Ring Around the Moon,Play,Yes,1.33333,1.33333,46.92,Win,0
Rolling on the T.O.B.A.,Musical revue,No,3.66667,3.66667,,No nomination,6
Rolling on the T.O.B.A.,Musical revue,No,3.66667,3.66667,,Losing nomination,0
Rolling on the T.O.B.A.,Musical revue,No,3.66667,3.66667,,Win,0
Sex and Longing,Play,No,2.66667,1,87.56,No nomination,6
Sex and Longing,Play,No,2.66667,1,87.56,Losing nomination,0
Sex and Longing,Play,No,2.66667,1,87.56,Win,0
Side Man,Play,No,4.66667,5,92.41,No nomination,4
Side Man,Play,No,4.66667,5,92.41,Losing nomination,0
Side Man,Play,No,4.66667,5,92.41,Win,2
Side Show,Musical,No,4.33333,2.33333,61.93,No nomination,4
Side Show,Musical,No,4.33333,2.33333,61.93,Losing nomination,2
Side Show,Musical,No,4.33333,2.33333,61.93,Win,0
Skylight,Play,No,4.66667,4.66667,96.89,No nomination,2
Skylight,Play,No,4.66667,4.66667,96.89,Losing nomination,4
Skylight,Play,No,4.66667,4.66667,96.89,Win,0
Stanley,Play,No,3.66667,2.33333,96.65,No nomination,3
Stanley,Play,No,3.66667,2.33333,96.65,Losing nomination,3
Stanley,Play,No,3.66667,2.33333,96.65,Win,0
Steel Pier,Musical,No,1.66667,2,82.31,No nomination,0
Steel Pier,Musical,No,1.66667,2,82.31,Losing nomination,6
Steel Pier,Musical,No,1.66667,2,82.31,Win,0
Street Corner Symphony,Musical revue,No,1.66667,2.33333,54.75,No nomination,6
Street Corner Symphony,Musical revue,No,1.66667,2.33333,54.75,Losing nomination,0
Street Corner Symphony,Musical revue,No,1.66667,2.33333,54.75,Win,0
Summer and Smoke,Play,Yes,1,,96.69,No nomination,6
Summer and Smoke,Play,Yes,1,,96.69,Losing nomination,0
Summer and Smoke,Play,Yes,1,,96.69,Win,0
Swan Lake,Musical,Yes,3.66667,2.33333,86.04,No nomination,4
Swan Lake,Musical,Yes,3.66667,2.33333,86.04,Losing nomination,1
Swan Lake,Musical,Yes,3.66667,2.33333,86.04,Win,1
Taking Sides,Play,No,2,4,80.88,No nomination,6
Taking Sides,Play,No,2,4,80.88,Losing nomination,0
Taking Sides,Play,No,2,4,80.88,Win,0
The Beauty Queen of Leenane,Play,No,5,5,87.23,No nomination,0
The Beauty Queen of Leenane,Play,No,5,5,87.23,Losing nomination,2
The Beauty Queen of Leenane,Play,No,5,5,87.23,Win,4
The Blue Room,Play,No,3,5,97.29,No nomination,6
The Blue Room,Play,No,3,5,97.29,Losing nomination,0
The Blue Room,Play,No,3,5,97.29,Win,0
The Capeman,Musical,No,1.66667,2.33333,70.36,No nomination,6
The Capeman,Musical,No,1.66667,2.33333,70.36,Losing nomination,0
The Capeman,Musical,No,1.66667,2.33333,70.36,Win,0
The Chairs,Play,Yes,5,4.66667,65.22,No nomination,2
The Chairs,Play,Yes,5,4.66667,65.22,Losing nomination,4
The Chairs,Play,Yes,5,4.66667,65.22,Win,0
The Cherry Orchard,Play,Yes,5,5,60,No nomination,6
The Cherry Orchard,Play,Yes,5,5,60,Losing nomination,0
The Cherry Orchard,Play,Yes,5,5,60,Win,0
The Civil War: An American Musical,Musical,No,1.33333,2.66667,57.3,No nomination,5
The Civil War: An American Musical,Musical,No,1.33333,2.66667,57.3,Losing nomination,1
The Civil War: An American Musical,Musical,No,1.33333,2.66667,57.3,Win,0
The Deep Blue Sea,Play,Yes,2,2,88.2,No nomination,6
The Deep Blue Sea,Play,Yes,2,2,88.2,Losing nomination,0
The Deep Blue Sea,Play,Yes,2,2,88.2,Win,0
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,71.75,No nomination,4
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,71.75,Losing nomination,2
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,71.75,Win,0
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,60.59,No nomination,6
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,60.59,Losing nomination,0
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,60.59,Win,0
The Gin Game,Play,Yes,4.66667,5,71.9,No nomination,3
The Gin Game,Play,Yes,4.66667,5,71.9,Losing nomination,3
The Gin Game,Play,Yes,4.66667,5,71.9,Win,0
The Herbal Bed,Play,No,2,1.66667,29.35,No nomination,6
The Herbal Bed,Play,No,2,1.66667,29.35,Losing nomination,0
The Herbal Bed,Play,No,2,1.66667,29.35,Win,0
The Iceman Cometh,Play,Yes,4,5,99.94,No nomination,3
The Iceman Cometh,Play,Yes,4,5,99.94,Losing nomination,3
The Iceman Cometh,Play,Yes,4,5,99.94,Win,0
The Judas Kiss,Play,No,1.66667,3.66667,79.69,No nomination,6
The Judas Kiss,Play,No,1.66667,3.66667,79.69,Losing nomination,0
The Judas Kiss,Play,No,1.66667,3.66667,79.69,Win,0
The Last Night of Ballyhoo,Play,No,3,4.33333,81.39,No nomination,2
The Last Night of Ballyhoo,Play,No,3,4.33333,81.39,Losing nomination,3
The Last Night of Ballyhoo,Play,No,3,4.33333,81.39,Win,1
The Life,Musical,No,2.33333,2,44.08,No nomination,0
The Life,Musical,No,2.33333,2,44.08,Losing nomination,4
The Life,Musical,No,2.33333,2,44.08,Win,2
The Lion in Winter,Play,Yes,2,1.66667,92.21,No nomination,5
The Lion in Winter,Play,Yes,2,1.66667,92.21,Losing nomination,1
The Lion in Winter,Play,Yes,2,1.66667,92.21,Win,0
The Lion King,Musical,No,3.33333,5,96.63,No nomination,2
The Lion King,Musical,No,3.33333,5,96.63,Losing nomination,2
The Lion King,Musical,No,3.33333,5,96.63,Win,2
The Little Foxes,Play,Yes,1.66667,2,74.4,No nomination,5
The Little Foxes,Play,Yes,1.66667,2,74.4,Losing nomination,1
The Little Foxes,Play,Yes,1.66667,2,74.4,Win,0
The Lonesome West,Play,No,2.66667,5,42.33,No nomination,2
The Lonesome West,Play,No,2.66667,5,42.33,Losing nomination,4
The Lonesome West,Play,No,2.66667,5,42.33,Win,0
The Old Neighborhood,Play,No,5,3,83.91,No nomination,6
The Old Neighborhood,Play,No,5,3,83.91,Losing nomination,0
The Old Neighborhood,Play,No,5,3,83.91,Win,0
The Rehearsal,Play,Yes,2,1.33333,73.85,No nomination,6
The Rehearsal,Play,Yes,2,1.33333,73.85,Losing nomination,0
The Rehearsal,Play,Yes,2,1.33333,73.85,Win,0
The Scarlet Pimpernel,Musical,No,2,2.66667,92.78,No nomination,4
The Scarlet Pimpernel,Musical,No,2,2.66667,92.78,Losing nomination,2
The Scarlet Pimpernel,Musical,No,2,2.66667,92.78,Win,0
The Sound of Music,Musical,Yes,2.66667,2,87.43,No nomination,5
The Sound of Music,Musical,Yes,2.66667,2,87.43,Losing nomination,1
The Sound of Music,Musical,Yes,2.66667,2,87.43,Win,0
The Sunshine Boys,Play,Yes,4.33333,5,65.21,No nomination,6
The Sunshine Boys,Play,Yes,4.33333,5,65.21,Losing nomination,0
The Sunshine Boys,Play,Yes,4.33333,5,65.21,Win,0
The Three Sisters (1),Play,Yes,4.66667,1.66667,,No nomination,6
The Three Sisters (1),Play,Yes,4.66667,1.66667,,Losing nomination,0
The Three Sisters (1),Play,Yes,4.66667,1.66667,,Win,0
The Three Sisters (2),Play,Yes,3,1.66667,100,No nomination,6
The Three Sisters (2),Play,Yes,3,1.66667,100,Losing nomination,0
The Three Sisters (2),Play,Yes,3,1.66667,100,Win,0
The Weir,Play,No,5,4.66667,91.91,No nomination,6
The Weir,Play,No,5,4.66667,91.91,Losing nomination,0
The Weir,Play,No,5,4.66667,91.91,Win,0
The Young Man From Atlanta,Play,No,3.33333,5,56.99,No nomination,3
The Young Man From Atlanta,Play,No,3.33333,5,56.99,Losing nomination,3
The Young Man From Atlanta,Play,No,3.33333,5,56.99,Win,0
Titanic,Musical,No,2,3,71.26,No nomination,5
Titanic,Musical,No,2,3,71.26,Losing nomination,0
Titanic,Musical,No,2,3,71.26,Win,1
Triumph of Love,Musical,No,2,4.33333,77.28,No nomination,5
Triumph of Love,Musical,No,2,4.33333,77.28,Losing nomination,1
Triumph of Love,Musical,No,2,4.33333,77.28,Win,0
Twelfth Night,Play,Yes,3,5,97.47,No nomination,5
Twelfth Night,Play,Yes,3,5,97.47,Losing nomination,1
Twelfth Night,Play,Yes,3,5,97.47,Win,0
Wait Until Dark,Play,Yes,1.66667,1,92.44,No nomination,6
Wait Until Dark,Play,Yes,1.66667,1,92.44,Losing nomination,0
Wait Until Dark,Play,Yes,1.66667,1,92.44,Win,0
You're a Good Man Charlie Brown,Musical,Yes,2,2,54.05,No nomination,2
You're a Good Man Charlie Brown,Musical,Yes,2,2,54.05,Losing nomination,2
You're a Good Man Charlie Brown,Musical,Yes,2,2,54.05,Win,2
1776,Musical,Yes,4.33333,5,99.15,No nomination,3
1776,Musical,Yes,4.33333,5,99.15,Losing nomination,3
1776,Musical,Yes,4.33333,5,99.15,Win,0
