Political system,Age,Time of survey,Schooling,Region,Count
Very poorly,19-29,1991,Basic incomplete,West Germany,1
Very poorly,19-29,1991,Basic,West Germany,5
Very poorly,19-29,1991,Medium,West Germany,10
Very poorly,19-29,1991,Upper medium,West Germany,3
Very poorly,19-29,1991,Intensive,West Germany,8
Very poorly,19-29,1991,Basic incomplete,East Germany,0
Very poorly,19-29,1991,Basic,East Germany,0
Very poorly,19-29,1991,Medium,East Germany,2
Very poorly,19-29,1991,Upper medium,East Germany,0
Very poorly,19-29,1991,Intensive,East Germany,2
Poorly,19-29,1991,Basic incomplete,West Germany,3
Poorly,19-29,1991,Basic,West Germany,63
Poorly,19-29,1991,Medium,West Germany,88
Poorly,19-29,1991,Upper medium,West Germany,22
Poorly,19-29,1991,Intensive,West Germany,78
Poorly,19-29,1991,Basic incomplete,East Germany,2
Poorly,19-29,1991,Basic,East Germany,13
Poorly,19-29,1991,Medium,East Germany,103
Poorly,19-29,1991,Upper medium,East Germany,6
Poorly,19-29,1991,Intensive,East Germany,29
Well,19-29,1991,Basic incomplete,West Germany,1
Well,19-29,1991,Basic,West Germany,25
Well,19-29,1991,Medium,West Germany,18
Well,19-29,1991,Upper medium,West Germany,5
Well,19-29,1991,Intensive,West Germany,9
Well,19-29,1991,Basic incomplete,East Germany,1
Well,19-29,1991,Basic,East Germany,5
Well,19-29,1991,Medium,East Germany,53
Well,19-29,1991,Upper medium,East Germany,1
Well,19-29,1991,Intensive,East Germany,12
Very well,19-29,1991,Basic incomplete,West Germany,2
Very well,19-29,1991,Basic,West Germany,2
Very well,19-29,1991,Medium,West Germany,0
Very well,19-29,1991,Upper medium,West Germany,0
Very well,19-29,1991,Intensive,West Germany,1
Very well,19-29,1991,Basic incomplete,East Germany,0
Very well,19-29,1991,Basic,East Germany,0
Very well,19-29,1991,Medium,East Germany,4
Very well,19-29,1991,Upper medium,East Germany,0
Very well,19-29,1991,Intensive,East Germany,3
Very poorly,30-44,1991,Basic incomplete,West Germany,0
Very poorly,30-44,1991,Basic,West Germany,24
Very poorly,30-44,1991,Medium,West Germany,17
Very poorly,30-44,1991,Upper medium,West Germany,3
Very poorly,30-44,1991,Intensive,West Germany,11
Very poorly,30-44,1991,Basic incomplete,East Germany,0
Very poorly,30-44,1991,Basic,East Germany,3
Very poorly,30-44,1991,Medium,East Germany,7
Very poorly,30-44,1991,Upper medium,East Germany,0
Very poorly,30-44,1991,Intensive,East Germany,1
Poorly,30-44,1991,Basic incomplete,West Germany,1
Poorly,30-44,1991,Basic,West Germany,135
Poorly,30-44,1991,Medium,West Germany,89
Poorly,30-44,1991,Upper medium,West Germany,26
Poorly,30-44,1991,Intensive,West Germany,68
Poorly,30-44,1991,Basic incomplete,East Germany,3
Poorly,30-44,1991,Basic,East Germany,39
Poorly,30-44,1991,Medium,East Germany,198
Poorly,30-44,1991,Upper medium,East Germany,7
Poorly,30-44,1991,Intensive,East Germany,52
Well,30-44,1991,Basic incomplete,West Germany,1
Well,30-44,1991,Basic,West Germany,34
Well,30-44,1991,Medium,West Germany,14
Well,30-44,1991,Upper medium,West Germany,1
Well,30-44,1991,Intensive,West Germany,10
Well,30-44,1991,Basic incomplete,East Germany,4
Well,30-44,1991,Basic,East Germany,27
Well,30-44,1991,Medium,East Germany,86
Well,30-44,1991,Upper medium,East Germany,7
Well,30-44,1991,Intensive,East Germany,17
Very well,30-44,1991,Basic incomplete,West Germany,0
Very well,30-44,1991,Basic,West Germany,2
Very well,30-44,1991,Medium,West Germany,1
Very well,30-44,1991,Upper medium,West Germany,0
Very well,30-44,1991,Intensive,West Germany,1
Very well,30-44,1991,Basic incomplete,East Germany,1
Very well,30-44,1991,Basic,East Germany,7
Very well,30-44,1991,Medium,East Germany,9
Very well,30-44,1991,Upper medium,East Germany,0
Very well,30-44,1991,Intensive,East Germany,1
Very poorly,45-59,1991,Basic incomplete,West Germany,0
Very poorly,45-59,1991,Basic,West Germany,26
Very poorly,45-59,1991,Medium,West Germany,4
Very poorly,45-59,1991,Upper medium,West Germany,2
Very poorly,45-59,1991,Intensive,West Germany,5
Very poorly,45-59,1991,Basic incomplete,East Germany,0
Very poorly,45-59,1991,Basic,East Germany,4
Very poorly,45-59,1991,Medium,East Germany,0
Very poorly,45-59,1991,Upper medium,East Germany,0
Very poorly,45-59,1991,Intensive,East Germany,2
Poorly,45-59,1991,Basic incomplete,West Germany,2
Poorly,45-59,1991,Basic,West Germany,120
Poorly,45-59,1991,Medium,West Germany,62
Poorly,45-59,1991,Upper medium,West Germany,17
Poorly,45-59,1991,Intensive,West Germany,29
Poorly,45-59,1991,Basic incomplete,East Germany,14
Poorly,45-59,1991,Basic,East Germany,134
Poorly,45-59,1991,Medium,East Germany,50
Poorly,45-59,1991,Upper medium,East Germany,5
Poorly,45-59,1991,Intensive,East Germany,32
Well,45-59,1991,Basic incomplete,West Germany,1
Well,45-59,1991,Basic,West Germany,27
Well,45-59,1991,Medium,West Germany,10
Well,45-59,1991,Upper medium,West Germany,2
Well,45-59,1991,Intensive,West Germany,3
Well,45-59,1991,Basic incomplete,East Germany,13
Well,45-59,1991,Basic,East Germany,61
Well,45-59,1991,Medium,East Germany,18
Well,45-59,1991,Upper medium,East Germany,3
Well,45-59,1991,Intensive,East Germany,18
Very well,45-59,1991,Basic incomplete,West Germany,0
Very well,45-59,1991,Basic,West Germany,6
Very well,45-59,1991,Medium,West Germany,2
Very well,45-59,1991,Upper medium,West Germany,0
Very well,45-59,1991,Intensive,West Germany,0
Very well,45-59,1991,Basic incomplete,East Germany,1
Very well,45-59,1991,Basic,East Germany,7
Very well,45-59,1991,Medium,East Germany,3
Very well,45-59,1991,Upper medium,East Germany,0
Very well,45-59,1991,Intensive,East Germany,2
Very poorly,60-74,1991,Basic incomplete,West Germany,2
Very poorly,60-74,1991,Basic,West Germany,41
Very poorly,60-74,1991,Medium,West Germany,12
Very poorly,60-74,1991,Upper medium,West Germany,1
Very poorly,60-74,1991,Intensive,West Germany,7
Very poorly,60-74,1991,Basic incomplete,East Germany,0
Very poorly,60-74,1991,Basic,East Germany,4
Very poorly,60-74,1991,Medium,East Germany,1
Very poorly,60-74,1991,Upper medium,East Germany,0
Very poorly,60-74,1991,Intensive,East Germany,0
Poorly,60-74,1991,Basic incomplete,West Germany,6
Poorly,60-74,1991,Basic,West Germany,107
Poorly,60-74,1991,Medium,West Germany,32
Poorly,60-74,1991,Upper medium,West Germany,4
Poorly,60-74,1991,Intensive,West Germany,26
Poorly,60-74,1991,Basic incomplete,East Germany,7
Poorly,60-74,1991,Basic,East Germany,81
Poorly,60-74,1991,Medium,East Germany,15
Poorly,60-74,1991,Upper medium,East Germany,1
Poorly,60-74,1991,Intensive,East Germany,12
Well,60-74,1991,Basic incomplete,West Germany,1
Well,60-74,1991,Basic,West Germany,18
Well,60-74,1991,Medium,West Germany,3
Well,60-74,1991,Upper medium,West Germany,0
Well,60-74,1991,Intensive,West Germany,2
Well,60-74,1991,Basic incomplete,East Germany,6
Well,60-74,1991,Basic,East Germany,56
Well,60-74,1991,Medium,East Germany,8
Well,60-74,1991,Upper medium,East Germany,1
Well,60-74,1991,Intensive,East Germany,7
Very well,60-74,1991,Basic incomplete,West Germany,1
Very well,60-74,1991,Basic,West Germany,3
Very well,60-74,1991,Medium,West Germany,0
Very well,60-74,1991,Upper medium,West Germany,0
Very well,60-74,1991,Intensive,West Germany,0
Very well,60-74,1991,Basic incomplete,East Germany,1
Very well,60-74,1991,Basic,East Germany,5
Very well,60-74,1991,Medium,East Germany,0
Very well,60-74,1991,Upper medium,East Germany,0
Very well,60-74,1991,Intensive,East Germany,0
Very poorly,75+,1991,Basic incomplete,West Germany,1
Very poorly,75+,1991,Basic,West Germany,8
Very poorly,75+,1991,Medium,West Germany,3
Very poorly,75+,1991,Upper medium,West Germany,1
Very poorly,75+,1991,Intensive,West Germany,2
Very poorly,75+,1991,Basic incomplete,East Germany,0
Very poorly,75+,1991,Basic,East Germany,3
Very poorly,75+,1991,Medium,East Germany,0
Very poorly,75+,1991,Upper medium,East Germany,0
Very poorly,75+,1991,Intensive,East Germany,0
Poorly,75+,1991,Basic incomplete,West Germany,1
Poorly,75+,1991,Basic,West Germany,28
Poorly,75+,1991,Medium,West Germany,8
Poorly,75+,1991,Upper medium,West Germany,3
Poorly,75+,1991,Intensive,West Germany,6
Poorly,75+,1991,Basic incomplete,East Germany,5
Poorly,75+,1991,Basic,East Germany,16
Poorly,75+,1991,Medium,East Germany,1
Poorly,75+,1991,Upper medium,East Germany,1
Poorly,75+,1991,Intensive,East Germany,3
Well,75+,1991,Basic incomplete,West Germany,0
Well,75+,1991,Basic,West Germany,9
Well,75+,1991,Medium,West Germany,2
Well,75+,1991,Upper medium,West Germany,0
Well,75+,1991,Intensive,West Germany,0
Well,75+,1991,Basic incomplete,East Germany,0
Well,75+,1991,Basic,East Germany,10
Well,75+,1991,Medium,East Germany,1
Well,75+,1991,Upper medium,East Germany,0
Well,75+,1991,Intensive,East Germany,1
Very well,75+,1991,Basic incomplete,West Germany,1
Very well,75+,1991,Basic,West Germany,0
Very well,75+,1991,Medium,West Germany,0
Very well,75+,1991,Upper medium,West Germany,0
Very well,75+,1991,Intensive,West Germany,0
Very well,75+,1991,Basic incomplete,East Germany,0
Very well,75+,1991,Basic,East Germany,1
Very well,75+,1991,Medium,East Germany,0
Very well,75+,1991,Upper medium,East Germany,0
Very well,75+,1991,Intensive,East Germany,0
Very poorly,19-29,1992,Basic incomplete,West Germany,0
Very poorly,19-29,1992,Basic,West Germany,6
Very poorly,19-29,1992,Medium,West Germany,4
Very poorly,19-29,1992,Upper medium,West Germany,0
Very poorly,19-29,1992,Intensive,West Germany,7
Very poorly,19-29,1992,Basic incomplete,East Germany,0
Very poorly,19-29,1992,Basic,East Germany,0
Very poorly,19-29,1992,Medium,East Germany,0
Very poorly,19-29,1992,Upper medium,East Germany,0
Very poorly,19-29,1992,Intensive,East Germany,0
Poorly,19-29,1992,Basic incomplete,West Germany,2
Poorly,19-29,1992,Basic,West Germany,68
Poorly,19-29,1992,Medium,West Germany,101
Poorly,19-29,1992,Upper medium,West Germany,17
Poorly,19-29,1992,Intensive,West Germany,100
Poorly,19-29,1992,Basic incomplete,East Germany,1
Poorly,19-29,1992,Basic,East Germany,8
Poorly,19-29,1992,Medium,East Germany,58
Poorly,19-29,1992,Upper medium,East Germany,1
Poorly,19-29,1992,Intensive,East Germany,13
Well,19-29,1992,Basic incomplete,West Germany,3
Well,19-29,1992,Basic,West Germany,40
Well,19-29,1992,Medium,West Germany,48
Well,19-29,1992,Upper medium,West Germany,3
Well,19-29,1992,Intensive,West Germany,29
Well,19-29,1992,Basic incomplete,East Germany,1
Well,19-29,1992,Basic,East Germany,8
Well,19-29,1992,Medium,East Germany,68
Well,19-29,1992,Upper medium,East Germany,2
Well,19-29,1992,Intensive,East Germany,16
Very well,19-29,1992,Basic incomplete,West Germany,0
Very well,19-29,1992,Basic,West Germany,6
Very well,19-29,1992,Medium,West Germany,8
Very well,19-29,1992,Upper medium,West Germany,2
Very well,19-29,1992,Intensive,West Germany,1
Very well,19-29,1992,Basic incomplete,East Germany,0
Very well,19-29,1992,Basic,East Germany,1
Very well,19-29,1992,Medium,East Germany,13
Very well,19-29,1992,Upper medium,East Germany,0
Very well,19-29,1992,Intensive,East Germany,1
Very poorly,30-44,1992,Basic incomplete,West Germany,0
Very poorly,30-44,1992,Basic,West Germany,10
Very poorly,30-44,1992,Medium,West Germany,7
Very poorly,30-44,1992,Upper medium,West Germany,4
Very poorly,30-44,1992,Intensive,West Germany,8
Very poorly,30-44,1992,Basic incomplete,East Germany,0
Very poorly,30-44,1992,Basic,East Germany,0
Very poorly,30-44,1992,Medium,East Germany,0
Very poorly,30-44,1992,Upper medium,East Germany,0
Very poorly,30-44,1992,Intensive,East Germany,1
Poorly,30-44,1992,Basic incomplete,West Germany,4
Poorly,30-44,1992,Basic,West Germany,186
Poorly,30-44,1992,Medium,West Germany,100
Poorly,30-44,1992,Upper medium,West Germany,47
Poorly,30-44,1992,Intensive,West Germany,99
Poorly,30-44,1992,Basic incomplete,East Germany,0
Poorly,30-44,1992,Basic,East Germany,28
Poorly,30-44,1992,Medium,East Germany,104
Poorly,30-44,1992,Upper medium,East Germany,5
Poorly,30-44,1992,Intensive,East Germany,26
Well,30-44,1992,Basic incomplete,West Germany,6
Well,30-44,1992,Basic,West Germany,102
Well,30-44,1992,Medium,West Germany,67
Well,30-44,1992,Upper medium,West Germany,10
Well,30-44,1992,Intensive,West Germany,25
Well,30-44,1992,Basic incomplete,East Germany,1
Well,30-44,1992,Basic,East Germany,22
Well,30-44,1992,Medium,East Germany,86
Well,30-44,1992,Upper medium,East Germany,3
Well,30-44,1992,Intensive,East Germany,38
Very well,30-44,1992,Basic incomplete,West Germany,1
Very well,30-44,1992,Basic,West Germany,14
Very well,30-44,1992,Medium,West Germany,5
Very well,30-44,1992,Upper medium,West Germany,0
Very well,30-44,1992,Intensive,West Germany,3
Very well,30-44,1992,Basic incomplete,East Germany,1
Very well,30-44,1992,Basic,East Germany,2
Very well,30-44,1992,Medium,East Germany,13
Very well,30-44,1992,Upper medium,East Germany,3
Very well,30-44,1992,Intensive,East Germany,3
Very poorly,45-59,1992,Basic incomplete,West Germany,1
Very poorly,45-59,1992,Basic,West Germany,19
Very poorly,45-59,1992,Medium,West Germany,11
Very poorly,45-59,1992,Upper medium,West Germany,2
Very poorly,45-59,1992,Intensive,West Germany,9
Very poorly,45-59,1992,Basic incomplete,East Germany,1
Very poorly,45-59,1992,Basic,East Germany,2
Very poorly,45-59,1992,Medium,East Germany,0
Very poorly,45-59,1992,Upper medium,East Germany,1
Very poorly,45-59,1992,Intensive,East Germany,0
Poorly,45-59,1992,Basic incomplete,West Germany,2
Poorly,45-59,1992,Basic,West Germany,182
Poorly,45-59,1992,Medium,West Germany,76
Poorly,45-59,1992,Upper medium,West Germany,17
Poorly,45-59,1992,Intensive,West Germany,42
Poorly,45-59,1992,Basic incomplete,East Germany,2
Poorly,45-59,1992,Basic,East Germany,89
Poorly,45-59,1992,Medium,East Germany,25
Poorly,45-59,1992,Upper medium,East Germany,14
Poorly,45-59,1992,Intensive,East Germany,30
Well,45-59,1992,Basic incomplete,West Germany,6
Well,45-59,1992,Basic,West Germany,102
Well,45-59,1992,Medium,West Germany,24
Well,45-59,1992,Upper medium,West Germany,6
Well,45-59,1992,Intensive,West Germany,13
Well,45-59,1992,Basic incomplete,East Germany,3
Well,45-59,1992,Basic,East Germany,74
Well,45-59,1992,Medium,East Germany,27
Well,45-59,1992,Upper medium,East Germany,14
Well,45-59,1992,Intensive,East Germany,7
Very well,45-59,1992,Basic incomplete,West Germany,0
Very well,45-59,1992,Basic,West Germany,11
Very well,45-59,1992,Medium,West Germany,3
Very well,45-59,1992,Upper medium,West Germany,1
Very well,45-59,1992,Intensive,West Germany,1
Very well,45-59,1992,Basic incomplete,East Germany,3
Very well,45-59,1992,Basic,East Germany,13
Very well,45-59,1992,Medium,East Germany,3
Very well,45-59,1992,Upper medium,East Germany,2
Very well,45-59,1992,Intensive,East Germany,1
Very poorly,60-74,1992,Basic incomplete,West Germany,1
Very poorly,60-74,1992,Basic,West Germany,11
Very poorly,60-74,1992,Medium,West Germany,7
Very poorly,60-74,1992,Upper medium,West Germany,0
Very poorly,60-74,1992,Intensive,West Germany,4
Very poorly,60-74,1992,Basic incomplete,East Germany,0
Very poorly,60-74,1992,Basic,East Germany,0
Very poorly,60-74,1992,Medium,East Germany,0
Very poorly,60-74,1992,Upper medium,East Germany,1
Very poorly,60-74,1992,Intensive,East Germany,0
Poorly,60-74,1992,Basic incomplete,West Germany,4
Poorly,60-74,1992,Basic,West Germany,177
Poorly,60-74,1992,Medium,West Germany,57
Poorly,60-74,1992,Upper medium,West Germany,9
Poorly,60-74,1992,Intensive,West Germany,26
Poorly,60-74,1992,Basic incomplete,East Germany,1
Poorly,60-74,1992,Basic,East Germany,62
Poorly,60-74,1992,Medium,East Germany,16
Poorly,60-74,1992,Upper medium,East Germany,3
Poorly,60-74,1992,Intensive,East Germany,7
Well,60-74,1992,Basic incomplete,West Germany,5
Well,60-74,1992,Basic,West Germany,82
Well,60-74,1992,Medium,West Germany,10
Well,60-74,1992,Upper medium,West Germany,1
Well,60-74,1992,Intensive,West Germany,6
Well,60-74,1992,Basic incomplete,East Germany,2
Well,60-74,1992,Basic,East Germany,46
Well,60-74,1992,Medium,East Germany,9
Well,60-74,1992,Upper medium,East Germany,5
Well,60-74,1992,Intensive,East Germany,6
Very well,60-74,1992,Basic incomplete,West Germany,0
Very well,60-74,1992,Basic,West Germany,21
Very well,60-74,1992,Medium,West Germany,5
Very well,60-74,1992,Upper medium,West Germany,0
Very well,60-74,1992,Intensive,West Germany,3
Very well,60-74,1992,Basic incomplete,East Germany,1
Very well,60-74,1992,Basic,East Germany,5
Very well,60-74,1992,Medium,East Germany,1
Very well,60-74,1992,Upper medium,East Germany,0
Very well,60-74,1992,Intensive,East Germany,2
Very poorly,75+,1992,Basic incomplete,West Germany,0
Very poorly,75+,1992,Basic,West Germany,12
Very poorly,75+,1992,Medium,West Germany,2
Very poorly,75+,1992,Upper medium,West Germany,0
Very poorly,75+,1992,Intensive,West Germany,1
Very poorly,75+,1992,Basic incomplete,East Germany,0
Very poorly,75+,1992,Basic,East Germany,3
Very poorly,75+,1992,Medium,East Germany,0
Very poorly,75+,1992,Upper medium,East Germany,0
Very poorly,75+,1992,Intensive,East Germany,0
Poorly,75+,1992,Basic incomplete,West Germany,3
Poorly,75+,1992,Basic,West Germany,51
Poorly,75+,1992,Medium,West Germany,16
Poorly,75+,1992,Upper medium,West Germany,1
Poorly,75+,1992,Intensive,West Germany,6
Poorly,75+,1992,Basic incomplete,East Germany,0
Poorly,75+,1992,Basic,East Germany,18
Poorly,75+,1992,Medium,East Germany,4
Poorly,75+,1992,Upper medium,East Germany,1
Poorly,75+,1992,Intensive,East Germany,0
Well,75+,1992,Basic incomplete,West Germany,1
Well,75+,1992,Basic,West Germany,22
Well,75+,1992,Medium,West Germany,6
Well,75+,1992,Upper medium,West Germany,1
Well,75+,1992,Intensive,West Germany,4
Well,75+,1992,Basic incomplete,East Germany,0
Well,75+,1992,Basic,East Germany,14
Well,75+,1992,Medium,East Germany,1
Well,75+,1992,Upper medium,East Germany,1
Well,75+,1992,Intensive,East Germany,0
Very well,75+,1992,Basic incomplete,West Germany,0
Very well,75+,1992,Basic,West Germany,7
Very well,75+,1992,Medium,West Germany,1
Very well,75+,1992,Upper medium,West Germany,0
Very well,75+,1992,Intensive,West Germany,0
Very well,75+,1992,Basic incomplete,East Germany,0
Very well,75+,1992,Basic,East Germany,0
Very well,75+,1992,Medium,East Germany,0
Very well,75+,1992,Upper medium,East Germany,0
Very well,75+,1992,Intensive,East Germany,0
