Film,Roger Ebert,Jeffrey Lyons,Michael Medved,Rex Reed,Gene Shalit,Joel Siegel,Gene Siskel,Peter Travers
101 DALMATIONS,,Pro,Mixed,Pro,,Pro,,Mixed
12 MONKEYS,Pro,Con,Con,Con,,Pro,Mixed,
2 DAYS IN THE VALLEY,,Pro,Con,Con,,,,Mixed
A FAMILY THING,Pro,Mixed,Mixed,Pro,Pro,,Pro,Mixed
A GOOFY MOVIE,Pro,,,,,,Pro,
A MIDWINTER'S TALE,Pro,Pro,,,,,Pro,Mixed
A MONTH BY THE LAKE,Pro,Pro,,Pro,,,,Mixed
A REASON TO BELIEVE,,,,Pro,,,,Con
A THIN LINE BETWEEN LOVE&HATE,Mixed,Con,,Con,,,,Con
A TIME TO KILL,,Pro,Mixed,Mixed,,,Mixed,Mixed
A VERY BRADY SEQUEL,Mixed,,Con,,,,Pro,Mixed
ABSOLUTE POWER,Pro,Pro,Con,Con,Mixed,Pro,Mixed,Pro
ACE VENTURA:WHEN NATURE CALLS,Con,,,,,Con,Con,Con
ALASKA,Pro,Pro,Mixed,Pro,,Con,Con,
ALBINO ALLIGATOR,Mixed,Con,Pro,,,,,Mixed
AMERICAN BUFFALO,Mixed,,,,,Pro,,Mixed
ANGEL BABY,,Mixed,,Pro,,,,
ANGELS & INSECTS,Pro,Mixed,Pro,Pro,,,,Pro
ANGUS,Pro,,,,,,Mixed,Mixed
ANNE FRANK REMEMBERED,,Pro,,,,,,Pro
ASSASSINS,Con,Con,Pro,,,Mixed,Con,Con
AUGUST,,Mixed,,,,,,Mixed
BAD BOYS,Con,,,,,,Con,Mixed
BALTO,Pro,Pro,Pro,,,Mixed,Con,
BARB WIRE,,Con,,,,,,Con
BASQUIAT,,Pro,,Con,,Pro,,Pro
BEAUTIFUL GIRLS,Pro,Mixed,Pro,Con,,,,Mixed
BEAUTIFUL THING,,Mixed,,Pro,,,,Pro
BEAVIS&BUTTHEAD DO AMERICA,,,,,,Con,,Mixed
BED OF ROSES,Mixed,Con,Con,Pro,,,,
BEFORE AND AFTER,Mixed,Mixed,,Con,Con,Con,Con,Con
BIG NIGHT,,,Pro,Pro,,Pro,,Pro
BLACK SHEEP,,Con,,,,Con,,Con
BLOOD AND WINE,,Pro,Con,Con,,Pro,,Mixed
BLUE IN THE FACE,Mixed,Mixed,,Con,,Pro,,Con
BOGUS,Pro,Mixed,,Con,,Con,Mixed,Con
BOOTY CALL,,Con,,,,,,Con
BOTTLE ROCKET,,,,,Pro,,,Pro
BOUND,,Con,,,,,,Mixed
BOYS,,Con,,Con,,,,Con
BOYS LIFE 2,,,,,,,,Pro
BREAKING THE WAVES,,,,Pro,,Pro,,
BREATHING ROOM,,Mixed,,Con,,,,Con
BROKEN ARROW,Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed,Pro
BULLETPROOF,,Con,,Con,,Pro,,Con
BURNT BY THE SUN,Con,,,Pro,,,Mixed,Pro
BUTTERFLY KISS,Pro,,,,,,,Mixed
CANADIAN BACON,,,Con,Con,,,,Con
CARRIED AWAY,,,Con,,,,,Mixed
CARRINGTON,,Con,,Pro,Pro,Con,,Mixed
CASINO,Pro,Mixed,Con,Con,Pro,Pro,,Mixed
CAUGHT,,Pro,,Pro,,,,Pro
CELESTIAL CLOCKWORK,,Pro,,,,,,Mixed
CELTIC PRIDE,Mixed,,Con,,,,Mixed,Con
CHAIN REACTION,Mixed,Con,Con,,,,Mixed,Con
CITIZEN RUTH,,Pro,Con,,,,,Pro
CITY HALL,Mixed,Mixed,Con,Mixed,Pro,,Mixed,Pro
CITY OF INDUSTRY,Con,Con,,,,Con,Mixed,Mixed
CITY OF LOST CHILDREN,Pro,Pro,,,,,,Mixed
CLOCKERS,Pro,,Pro,Con,,Pro,Pro,Pro
COLD COMFORT FARM,Pro,Pro,,Pro,Pro,Pro,Pro,Pro
COPYCAT,Pro,Pro,,Pro,,Pro,Con,Con
COURAGE UNDER FIRE,,Pro,Mixed,Pro,Pro,Pro,,Pro
CRASH,,Con,,Con,,Con,Mixed,Pro
CRY THE BELOVED COUNTRY,,,Pro,Pro,,,,Mixed
CUTTHROAT ISLAND,Pro,Con,Mixed,Con,,Con,Con,Con
DANGEROUS GROUND,,Con,,Con,,,,Con
DANTE'S PEAK,Mixed,Pro,Pro,,Con,Con,Mixed,Con
DAYLIGHT,Mixed,,Mixed,,,Mixed,Mixed,Con
DEAD MAN,Con,,,,,,,Con
DEAD MAN WALKING,Pro,Pro,,Pro,,Pro,Pro,
DEAD PRESIDENTS,Mixed,Mixed,,Con,,Con,Con,Mixed
DEAR GOD,Con,,Con,Mixed,,,Con,Con
DEVIL IN A BLUE DRESS,Pro,,Pro,Pro,,Pro,Pro,
DIABOLIQUE,Mixed,Con,,,,Con,Pro,Con
DON JUAN DEMARCO,Con,Pro,,,Mixed,Pro,Pro,Mixed
DONNIE BRASCO,Pro,Pro,,Pro,Pro,Pro,Pro,Pro
DOWN PERISCOPE,Pro,,,,,,Con,
DRACULA:DEAD AND LOVING IT,Con,Mixed,Con,,,Pro,Con,Con
DRAGONHEART,Pro,Pro,Mixed,Mixed,Pro,Con,,Con
DRUNKS,,,Con,,,,,
DUNSTON CHECKS IN,,Pro,Pro,Con,,,,Mixed
ED,,Con,Con,,,,,
EDDIE,Con,,,,,,Pro,Con
ED'S NEXT MOVE,,Mixed,,,,,,Pro
EMMA,Pro,Pro,Pro,,,Pro,Pro,Pro
ERASER,Pro,Con,,Con,Pro,Pro,Pro,Mixed
ESCAPE FROM L.A.,Pro,Pro,Con,,,Con,Mixed,Mixed
EVERYONE SAYS I LOVE YOU,Pro,,Pro,Con,,Pro,Mixed,Pro
EVITA,,Pro,Mixed,Pro,Con,Pro,,Mixed
EXECUTIVE DECISION,Pro,,Mixed,,,Mixed,Pro,Mixed
EXTREME MEASURES,,Pro,,Mixed,,Con,,Con
EYE FOR AN EYE,Con,Pro,Mixed,Mixed,,,,Con
FAIR GAME,Con,,,,,,Con,Con
FAITHFUL,Mixed,Mixed,,Con,,,,Con
FARGO,Pro,Pro,,Pro,Pro,Pro,,Pro
FATHER OF THE BRIDE PART 2,Mixed,Mixed,Mixed,,,,Pro,Mixed
FEAR,,Con,,Mixed,,Con,,Con
FEAST OF JULY,Con,Pro,Pro,,,,,Con
FEELING MINNESOTA,Pro,,Con,Con,,,,Con
FIERCE CREATURES,Mixed,Pro,Pro,Mixed,,Con,Pro,Mixed
FLED,Mixed,Con,,,,Mixed,Con,Con
FLIPPER,,Pro,Pro,Con,,,,Mixed
FLIPPING,,,,,,,,Con
FLIRTING WITH DISASTER,Pro,Pro,,,,,Pro,Mixed
FLY AWAY HOME,Pro,Pro,Mixed,Pro,,Pro,Pro,Pro
FOLLOW ME HOME,,Pro,,,,,,
FOOLS RUSH IN,,Pro,Pro,Pro,,,,Con
FOXFIRE,,Con,,,,,,Con
FRANKIE STARLIGHT,Pro,Pro,,Pro,,,,
FRENCH TWIST,Con,Mixed,,,,,Con,Mixed
FROM DUSK TIL DAWN,Pro,,,Con,,,,Mixed
FROM THE JOURNALS OF JEAN S,,,,Pro,,,,Pro
GENTLEMEN DON'T EAT BLONDS,,Con,Con,Pro,,,,Mixed
GEORGIA,,,,Pro,,,,Pro
GET ON THE BUS,,Pro,,,,,Pro,Pro
GET SHORTY,Pro,Pro,Pro,Pro,,Pro,Pro,Pro
GETTING AWAY WITH MURDER,Mixed,,,,,,Mixed,
GHOST IN THE SHELL,Pro,,,,,,Pro,
GHOSTS OF MISSISSIPPI,,Pro,Pro,Mixed,,Pro,,
GIRL 6,,,,,,Pro,,Con
GIRLS TOWN,Pro,,,,,,Pro,
GOLD DIGGERS,Mixed,Mixed,Con,Con,,,Con,Con
GOLDENEYE,,Pro,,Con,,Con,,Mixed
GRACE OF MY HEART,Mixed,Pro,,,,Mixed,,Mixed
GRAY'S ANATOMY,,Pro,,Con,,,,Pro
GRUMPIER OLD MEN,Con,Pro,,Pro,,Pro,Mixed,Con
HACKERS,Pro,,,,,,,Con
HAMLET,Pro,Pro,,,,,Pro,Pro
HAPPY GILMORE,Con,Con,,,,,Mixed,Con
HARD EIGHT,Pro,Pro,Mixed,,,,Pro,Mixed
HARRIET THE SPY,,Con,Mixed,,,Pro,Mixed,Mixed
HATE,Pro,,,,,,,
HEAT,Pro,,,Mixed,Mixed,Pro,Pro,Pro
HEAVEN'S PRISONERS,,Pro,,Mixed,,,,Con
HEAVY,,Con,,,,,,Pro
HIGH SCHOOL HIGH,,Con,,Con,,Mixed,,Con
HOMAGE,,Pro,,Pro,,,,Con
HOME FOR THE HOLIDAYS,Pro,Con,Pro,Pro,,Con,Pro,Mixed
HOMEWARD BOUND 2,Mixed,Pro,Mixed,,,,Mixed,
HORSEMAN ON THE ROOF,Pro,Mixed,Pro,Con,,,Pro,Mixed
HOTEL DE LOVE,Mixed,Pro,,,,,Mixed,Mixed
HOUSE ARREST,,Con,Mixed,Con,,Con,Con,Con
HOW TO MAKE AN AMERICAN QUILT,Con,Pro,Con,Pro,,Mixed,Mixed,Con
HUNCHBACK OF NOTRE DAME,Pro,Pro,Con,,Pro,Pro,Pro,Mixed
I SHOT ANDY WARHOL,,Pro,,,,,,Pro
IF LUCY FELL,Con,Con,Con,Con,,,Con,Con
I'M NOT RAPPAPORT,Mixed,Pro,Mixed,,Pro,,Con,Con
IN LOVE AND WAR,Mixed,Mixed,Pro,Mixed,,Con,Mixed,
INDEPENDENCE DAY,,Mixed,Mixed,Pro,Mixed,Pro,Mixed,Pro
INFINITY,,Pro,Con,,,,,Mixed
IT TAKES TWO,,Pro,Pro,,,Con,,Con
IT'S MY PARTY,Pro,Con,,,,,Pro,Con
JACK,Con,Con,Con,Con,Con,Pro,Con,Con
JACK & SARAH,,Pro,Mixed,,,,,Con
JADE,Con,,Con,Mixed,,Con,,Con
JAMES & THE GIANT PEACH,Pro,Pro,,Pro,Pro,Pro,Pro,Pro
JANE EYRE,Pro,Pro,,Pro,,Mixed,Pro,Mixed
JERRY MAGUIRE,Pro,Pro,,Pro,Mixed,Pro,Pro,Pro
JINGLE ALL THE WAY,,,,,,Pro,,Con
JOURNEY OF AUGUST KING,,,,Con,,,,Mixed
JUDE,Pro,Pro,,Pro,,,Pro,Mixed
JUMANJI,Con,Pro,Pro,,Mixed,Con,Con,Con
JUNGLE 2 JUNGLE,Con,Pro,Con,,,Con,Con,Con
JURY DUTY,Con,,,,,,,Con
KAMA SUTRA: A TALE OF LOVE,Con,,Mixed,,,,Mixed,Mixed
KANSAS CITY,Pro,Mixed,,Con,,Con,Mixed,Pro
KAZAAM,,,,,,,Con,Con
KICKING AND SCREAMING,Pro,Pro,,,,,,Pro
KIDS IN THE HALL:BRAIN CANDY,Con,Con,,,,,Pro,Mixed
KINGPIN,Pro,,,Con,,,Pro,Con
KISS OF DEATH,Con,Pro,,Mixed,,,Pro,Pro
LA CEREMONIE,Pro,,Pro,,,,,Pro
LAND AND FREEDOM,,,,,,,Mixed,
LARGER THAN LIFE,Con,Pro,,Con,,Con,Pro,Con
LAST DANCE,,Pro,Con,Mixed,Pro,,,Con
LAST MAN STANDING,Con,,,,,Con,Mixed,Con
LEAVING LAS VEGAS,Pro,Con,Con,Pro,Mixed,Pro,Pro,Pro
LES MISERABLES,Pro,,Mixed,,,,,Mixed
LIAR LIAR,,Pro,Pro,,,Pro,Pro,Mixed
LITTLE INDIAN BIG CITY,Con,Con,,,,,Con,
LOADED,,Con,Con,,,,,
LONE STAR,,Pro,,Con,,Pro,,Pro
LOOKING FOR RICHARD,,Pro,,Con,,,,Pro
LOSING CHASE,,,Pro,,,,,Mixed
LOST HIGHWAY,Mixed,Con,,Con,,,,Mixed
LOVE JONES,Pro,Pro,,,Pro,Mixed,Pro,Mixed
MA SAISON PREFEREE,,Pro,,,,,,Pro
MAD DOG TIME,,Con,,,,,,Mixed
MAGIC HUNTER,,Con,Mixed,,,,,
MALLRATS,Con,,Con,,,,Con,Con
MANDELA: SON OF AFRICA...,,Pro,,,,,Pro,Pro
MANNY & LO,,Con,,,,,,Pro
MARGARET'S MUSEUM,,Pro,,,,,,Con
MARS ATTACKS!,Mixed,Mixed,Con,Con,,Pro,Pro,Mixed
MARVIN'S ROOM,Pro,,Pro,Pro,,Pro,,Pro
MARY REILLY,Pro,Con,Con,Con,,Con,Pro,Con
MATILDA,Pro,Con,,,,Pro,,
MAYBE...MAYBE NOT,Pro,,,Mixed,,,,Mixed
METRO,Pro,Con,Con,,,,Pro,Con
MICHAEL,,Con,Mixed,Con,,,,Mixed
MICHAEL COLLINS,,Pro,,Mixed,,Pro,,Pro
MIGHTY APHRODITE,Pro,Pro,Mixed,,,Pro,Mixed,Mixed
MISSION IMPOSSIBLE,,,Con,Con,,,Pro,Mixed
MOLL FLANDERS,Pro,Pro,Con,Pro,Mixed,Mixed,Mixed,Mixed
MONEY TRAIN,Con,,,,,Pro,,Mixed
MOONLIGHT & VALENTINO,,,Mixed,Pro,,Pro,,
MOTHER,Pro,Pro,,Pro,,,,Pro
MOTHER NIGHT,,Pro,Mixed,Pro,,,,Mixed
MR. HOLLAND'S OPUS,Pro,,Pro,Pro,,Pro,Pro,Con
MR. WRONG,,Con,,,,,,Con
MRS. WINTERBOURNE,Mixed,Pro,Con,,Con,,Mixed,Con
MULHOLLAND FALLS,Pro,Pro,Mixed,Pro,Con,Con,Mixed,Con
MULTIPLICITY,,Pro,Con,,,Mixed,Mixed,Mixed
MUPPET TREASURE ISLAND,Mixed,Pro,Pro,,,,Mixed,
MUTE WITNESS,Pro,,Pro,Pro,,,Con,Pro
MY FELLOW AMERICANS,,Pro,Mixed,,,Pro,,Mixed
MYSTERY SCIENCE THEATER 3000,Pro,Pro,,,,,Pro,Mixed
NEW JERSEY DRIVE,Pro,,,,,,,Pro
NICK OF TIME,Mixed,Con,Con,,,Mixed,,Con
NICO-ICON,Pro,,,,,,Pro,Pro
NIXON,Pro,Pro,Con,Mixed,,Pro,Pro,Mixed
NOW AND THEN,Con,Pro,,,,Con,Con,Con
ONCE UPON A TIME ...,Pro,,,Mixed,,,,
ONE FINE DAY,,Con,Con,Con,Con,Con,,Pro
OPEN SEASON,,Pro,Mixed,,,,,Mixed
OTHELLO,,Pro,Pro,Mixed,,Mixed,,Mixed
PALOOKAVILLE,,Pro,,,,,,Mixed
PERSUASION,,Con,,,,Pro,,
PHENOMENON,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Mixed
POWDER,Con,Con,,,,,Con,Con
PREFONTAINE,Pro,Pro,,,,,,
PRIMAL FEAR,Pro,Mixed,,Pro,,,,Con
PRISONER OF THE MOUNTAINS,Pro,,,,,,Pro,
PRIVATE PARTS,Pro,Pro,,,,Pro,Pro,Pro
RACE THE SUN,Con,,,,,,Con,
RANSOM,Pro,Pro,Con,Mixed,Mixed,Pro,Pro,Mixed
RECKLESS,,Mixed,Con,Pro,,,,Con
RED FIRECRACKER GREEN FIREC,Con,,,,,,,Mixed
RESTORATION,Pro,Pro,Pro,Con,,Pro,Pro,
RETURN OF THE JEDI,Pro,Pro,Pro,,,Pro,Pro,Mixed
RHYME & REASON,Pro,,,,,Pro,Pro,
RICHARD III,Pro,Pro,Pro,Pro,,Pro,,
RIDICULE,Pro,Pro,Pro,,,,Pro,Pro
ROB ROY,,Pro,Mixed,,Mixed,Pro,,Mixed
ROMEO AND JULIET,Mixed,Mixed,,Con,,Mixed,Pro,Pro
ROSEWOOD,,Pro,,Pro,,Pro,,Mixed
RUMBLE IN THE BRONX,Pro,Con,,,,Pro,Pro,Mixed
SABRINA,Pro,,Pro,Mixed,Pro,Mixed,Pro,Con
SCREAM,,Con,,Con,,Mixed,,Pro
SCREAMERS,Mixed,Pro,Con,Con,,,,
SECRETS & LIES,,Pro,,Pro,,,,Pro
SELENA,,Pro,Mixed,Mixed,,,Mixed,Con
SENSE AND SENSIBILITY,Mixed,Pro,,Pro,Pro,Pro,Pro,Pro
SET IT OFF,,Con,,,,,Mixed,Mixed
SEVEN,Pro,Pro,Con,Pro,,,Pro,Mixed
SGT. BILKO,Pro,Pro,Pro,,,Mixed,Pro,Con
SHANGHAI TRIAD,Mixed,,,Con,,,,Pro
SHE'S THE ONE,Mixed,Pro,Pro,,,Pro,,Con
SHINE,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro
SHOWGIRLS,Con,Con,,,,,Con,Con
SLEEPERS,Pro,Pro,,Pro,,,Mixed,Mixed
SLING BLADE,Pro,Pro,,,,Pro,Pro,Mixed
SMILLA'S SENSE OF SNOW,Pro,Mixed,,,,Con,Pro,Mixed
SOME MOTHER'S SON,,Pro,,Pro,,,,Pro
SOMEONE ELSE'S AMERICA,,Pro,,,,,,
SPACE JAM,Pro,Pro,,,Pro,Pro,Pro,Mixed
SPY HARD,,,Pro,Con,,,,Mixed
STAR TREK:FIRST CONTACT,,Con,Pro,,,,,Pro
STEAL BIG STEAL LITTLE,Con,Con,,Con,,Con,Con,
STEALING BEAUTY,Mixed,Con,,Con,,,,Mixed
STONEWALL,Mixed,,,,,,Pro,Mixed
STRANGE DAYS,Pro,Con,,Con,,Con,Mixed,Pro
STRIPTEASE,Mixed,Con,Con,Con,Con,,Con,Con
STUART SAVES HIS FAMILY,Pro,,Pro,,,,,Con
SUBURBIA,,Con,Mixed,Con,,Pro,,Pro
SUDDEN DEATH,Mixed,Pro,Pro,,,Con,Pro,Con
SUNSET PARK,Mixed,,,Con,,,Pro,Con
SURVIVING PICASSO,,,,Pro,,Mixed,,Mixed
SWEET NOTHING,Pro,,,Pro,,,,
SWINGERS,,,Pro,,,,,Pro
THAT DARN CAT,Con,Con,,,,,Con,
THAT THING YOU DO!,,,Pro,Pro,Mixed,,,Pro
THE ADDICTION,,Con,,,,,,Pro
THE ADVENTURES OF PINOCCHIO,Mixed,Pro,,Con,,,,Mixed
THE AMERICAN PRESIDENT,,,Mixed,Pro,Pro,Pro,,Pro
THE ARRIVAL,Pro,Pro,Pro,,,,Pro,
THE ASSOCIATE,,Pro,Con,,Pro,Pro,,Mixed
THE BASKETBALL DIARIES,Con,Pro,Mixed,Pro,,,Con,Mixed
THE BEAUTICIAN AND THE BEAST,Mixed,Pro,Con,,,Mixed,Mixed,Mixed
THE BIG SQUEEZE,Con,,,,,,,Con
THE BIRDCAGE,Pro,Pro,,Con,Pro,Pro,,Mixed
THE CABLE GUY,Mixed,Con,Pro,Mixed,Mixed,Mixed,Pro,Con
THE CELLULOID CLOSET,,,,,,Pro,,Pro
THE CHAMBER,Mixed,Pro,,,,Mixed,Con,Con
THE CRAFT,,Con,Con,,,,,Con
THE CROSSING GUARD,Mixed,Con,Con,Pro,,,Mixed,Mixed
THE CRUCIBLE,,Pro,,Pro,,Pro,,Pro
THE CURE,Mixed,Pro,Pro,Pro,,,Mixed,Mixed
THE DAYTRIPPERS,,,Pro,,,Pro,,Mixed
THE DOOM GENERATION,Con,,,,,,,Pro
THE EIGHTH DAY,,,,,,,,Mixed
THE EMPIRE STRIKES BACK,,,Pro,,,Pro,,Pro
THE ENGLISH PATIENT,,Pro,,Mixed,Pro,Pro,,Pro
THE EVENING STAR,,Pro,Mixed,Pro,,,,Pro
THE FAN,,Con,,Con,Mixed,Pro,,Con
THE FIRST WIVE'S CLUB,Mixed,,,Pro,Pro,Pro,Mixed,Pro
THE FLOWER OF MY SECRET,Con,Pro,Mixed,Mixed,,,,Pro
THE FRIGHTENERS,Con,Con,Pro,,,,Mixed,Mixed
THE FUNERAL,Pro,,,Con,,,,Mixed
THE GHOST AND THE DARKNESS,Con,,Pro,Pro,,Pro,Pro,Mixed
THE GODFATHER,,Pro,,,,Pro,,Pro
THE GRASS HARP,,Pro,Con,Pro,,Pro,,Con
THE GREAT WHITE HYPE,,Mixed,,,,,,Mixed
THE ISLAND OF DR. MOREAU,,Mixed,,,,,,Mixed
THE JUROR,Mixed,Con,Mixed,Con,Con,Mixed,Con,Con
THE LAST GOOD TIME,Pro,,,,,,,Pro
THE LAST SUPPER,Pro,Mixed,,,,,Pro,Pro
THE LINE KING,,,,Pro,,,,Pro
THE LONG KISS GOODNIGHT,Mixed,Mixed,,Con,,Pro,Pro,Mixed
THE MIRROR HAS TWO FACES,,Con,Con,Con,Pro,Pro,Pro,Con
THE MONSTER,,Pro,,,,,,Mixed
THE NEON BIBLE,,,,Con,,,,Mixed
THE NUTTY PROFESSOR,Pro,Pro,Mixed,Con,Con,,,Mixed
THE PALLBEARER,,Pro,Con,,,,,Mixed
THE PEBBLE AND THE PENGUIN,,,Con,,,,,Con
THE PEOPLE VS LARRY FLYNT,,Pro,,Pro,Pro,Pro,,Pro
THE PHANTOM,Pro,Mixed,Pro,,Pro,,Mixed,Con
THE POMPATUS OF LOVE,Mixed,Pro,,,,,,Con
THE PORTRAIT OF A LADY,Pro,Con,Pro,,,,Pro,Mixed
THE PREACHER'S WIFE,Pro,Pro,Pro,,,Mixed,Pro,Con
THE QUEST,,,,,,,,Con
THE QUIET ROOM,,,,,,,,Pro
THE RELIC,Pro,,Con,,,,,Con
THE RICH MAN'S WIFE,Mixed,Con,Con,,,,,
THE ROCK,Pro,Mixed,,,Pro,,Mixed,Pro
THE RUN OF THE COUNTRY,Mixed,Pro,,Pro,,,Pro,Con
THE SCARLET LETTER,Con,Con,Con,,,Con,,Con
THE SEARCH FOR 1-EYED JIMMY,,Con,,,,,,Con
THE SECRET AGENT,,Con,,Pro,,Pro,,Mixed
THE SPITFIRE GRILL,Mixed,Pro,Pro,,Pro,Pro,,Con
THE STAR MAKER,Pro,Pro,,,,,Pro,Con
THE SUBSTANCE OF FIRE,Pro,,,Pro,,,,Pro
THE SUBSTITUTE,Con,Mixed,,,,,Mixed,
THE TRUTH ABOUT CATS & DOGS,Pro,Pro,Pro,Pro,Mixed,Pro,,Mixed
THE UMBRELLAS OF CHARBOURG,Pro,Pro,,Pro,,Pro,Pro,Pro
THE WAR AT HOME,,Pro,,Pro,,Con,,Mixed
THE WHOLE WIDE WORLD,Pro,,,,,,Mixed,
THE YOUNG POISONER'S HANDBOOK,Pro,,,Pro,,,,Pro
THINGS TO DO IN DENVER...,Mixed,Con,,,,Con,,Pro
THREE WISHES,Con,Pro,Pro,,Mixed,,,Con
TIN CUP,Pro,Con,Pro,Mixed,Mixed,Pro,Pro,Pro
TO DIE FOR,Pro,Pro,Pro,Pro,,Pro,Pro,
TO GILLIAN ON HER 37TH B'DAY,Mixed,Pro,Mixed,,,,Mixed,Con
TO WONG FOO THANKS FOR...,Mixed,Con,Con,Con,,Con,Pro,Mixed
TOTAL ECLIPSE,Mixed,,,,,,,Con
TOUCH,Mixed,Con,Con,Con,,Con,Mixed,Con
TOY STORY,Pro,Pro,,Pro,Pro,Pro,,Pro
TRAINSPOTTING,,Pro,Con,,,Pro,Pro,Pro
TREES LOUNGE,,Con,,,,,,Pro
TROMEO AND JULIET,,Pro,Con,,,,,
TURBULENCE,Con,,Mixed,,,,,Con
TWELFTH NIGHT,Pro,,,,,Pro,,Mixed
TWISTER,Mixed,Con,Mixed,Con,,Mixed,,Mixed
TWO BITS,Con,Mixed,,,,,,
TWO MUCH,Con,Con,,Con,,Con,,Con
UNDER THE DOMIN TREE,,Mixed,Pro,,,,,
UNFORGETTABLE,Con,Con,Pro,Con,,Con,Pro,Con
UNHOOK THE STARS,,,,Pro,,,,Mixed
UNSTRUNG HEROES,Pro,,Mixed,Pro,,Pro,Con,Pro
UP CLOSE & PERSONAL,Pro,Pro,Con,Con,Pro,Pro,Con,Mixed
VAMPIRE IN BROOKLYN,Con,Pro,,,,,Con,Con
WAITING TO EXHALE,Pro,Pro,,Con,,Con,Mixed,Mixed
WALKING & TALKING,Pro,Pro,,,,Pro,,Pro
WELCOME TO THE DOLLHOUSE,,,,,,,,Pro
WHEN WE WERE KINGS,Pro,,,,,,Pro,
WHITE MAN'S BURDEN,Con,Pro,,Mixed,Con,Pro,Con,Mixed
WHITE SQUALL,Pro,Pro,Mixed,Pro,,Con,,Mixed
WILD BILL,Con,Pro,Con,Pro,,Con,Pro,Mixed
