"dt","new_friend","frient_request","message","meet_me","chat","pets","photo_comment","meet_me_yes","all_msgs","users"
"2013-01-01",73896,118304,2866916,37449,117726,758951,0,0,3973242,268490
"2013-01-02",77963,122432,3086498,39143,121671,836164,0,0,4283871,283754
"2013-01-03",74262,124260,2995974,39402,114154,780949,0,0,4129001,282560
"2013-01-04",70055,120458,2838493,38594,105112,773425,0,0,3946137,278118
"2013-01-05",71703,118125,2891887,38201,111243,807031,0,0,4038190,280725
"2013-01-06",74937,121829,3137854,40189,122106,884040,0,0,4380955,289030
"2013-01-07",75862,124462,2966133,42742,112946,821208,0,0,4143353,284951
"2013-01-08",77300,120831,3027464,41935,111938,810414,0,0,4189882,287146
"2013-01-09",75206,117091,2868725,41840,114053,805519,0,0,4022434,281585
"2013-01-10",73640,116547,2918941,40039,109417,795936,0,0,4054520,286368
"2013-01-11",70944,112576,2749972,40126,103342,756741,0,0,3833701,280839
"2013-01-12",74081,117433,2865500,41793,106853,789874,0,0,3995534,288598
"2013-01-13",79619,122897,3247890,44087,121000,889129,0,0,4504622,297189
"2013-01-14",77775,118572,3074596,42685,114022,849083,0,0,4276733,294045
"2013-01-15",81830,121635,3033152,47815,95058,829976,0,0,4209466,295117
"2013-01-16",89702,125839,3031751,49038,52169,797586,0,0,4146085,296426
"2013-01-17",86980,125874,2823513,47878,41396,752401,0,0,3878042,280592
"2013-01-18",84898,119794,2659376,46358,34338,701819,0,0,3646583,276385
"2013-01-19",84050,121262,2714469,46478,33652,714816,0,0,3714727,273141
"2013-01-20",89795,125675,3016305,49447,32044,774501,0,0,4087767,282532
"2013-01-21",92039,127321,3154209,48920,30949,791425,0,0,4244863,300459
"2013-01-22",91025,122926,3091065,47339,29932,770454,0,0,4152741,310818
"2013-01-23",88758,120913,2997304,46678,25814,776113,0,0,4055580,307007
"2013-01-24",87317,120797,2859489,45821,24070,746015,0,0,3883509,304215
"2013-01-25",85860,120057,2420606,44740,21491,697103,0,0,3389857,296200
"2013-01-26",85036,119955,2676386,46158,23047,727469,0,0,3678051,303724
"2013-01-27",91166,129779,3170808,49958,23844,808054,0,0,4273609,317159
"2013-01-28",88096,122973,3093050,47486,22348,784513,0,0,4158466,321560
"2013-01-29",88349,121898,3029011,45061,20464,764475,0,0,4069258,327634
"2013-01-30",85594,117275,2658144,44992,19660,736329,0,0,3661994,303701
"2013-01-31",82501,114924,2514164,43376,17476,693743,0,0,3466184,276903
"2013-02-01",79034,109957,2288368,40588,15554,644920,0,0,3178421,267335
"2013-02-02",81404,114733,2456590,41757,16959,645395,0,0,3356838,272857
"2013-02-03",84678,139489,2820912,45255,18029,716045,0,0,3824408,311334
"2013-02-04",85344,117172,2790841,44591,17493,733525,0,0,3788966,298771
"2013-02-05",83847,367576,2729720,106939,16610,711400,0,0,4016092,292988
"2013-02-06",83280,609606,2671820,153953,15695,719735,0,0,4254089,286718
"2013-02-07",79408,478936,2491460,126750,14970,681016,0,0,3872540,281981
"2013-02-08",81242,310142,2505475,99479,14973,654876,21198,392406,4079791,304472
"2013-02-09",81131,604071,2591912,179782,15511,665211,74301,1308748,5520667,328601
"2013-02-10",87306,647714,2894849,195585,16478,740914,77212,1422799,6082857,337047
"2013-02-11",97399,420055,2830189,123194,15452,721693,52274,1037234,5297490,329621
"2013-02-12",238403,392745,2703323,116406,13074,686820,0,0,4150771,279939
"2013-02-13",217528,449581,2395050,129363,11911,651798,0,0,3855231,282773
"2013-02-14",115955,201257,2455561,95774,11246,629368,0,0,3509161,270761
"2013-02-15",260472,530568,2442811,224911,10691,637755,0,0,4107208,271032
"2013-02-16",277918,572539,2681426,165094,11090,661092,0,0,4369159,283497
"2013-02-17",293584,592514,2499838,177447,11439,678962,0,0,4253784,301551
"2013-02-18",321832,626295,2800396,194378,11850,720985,0,0,4675736,295919
"2013-02-19",320873,617304,2988202,173237,10996,729729,0,0,4840341,298680
"2013-02-20",295230,603776,2907213,162705,10762,706468,0,0,4686154,298782
"2013-02-21",291936,589942,2799835,162071,10846,699695,0,0,4554325,292179
"2013-02-22",270917,564355,2577519,159818,10350,641024,0,0,4223983,281168
"2013-02-23",286559,582040,2793642,163845,10147,669610,0,0,4505843,286560
"2013-02-24",320037,623965,3023951,184325,10992,721690,0,0,4884960,297814
"2013-02-25",297592,600912,2762904,167293,9986,709261,0,0,4547948,286413
"2013-02-26",295251,584689,2755839,170803,9766,674337,0,0,4490685,289998
"2013-02-27",280072,563249,2784077,162056,8937,657444,0,0,4455835,295604
"2013-02-28",272396,545564,2629515,161446,8514,635939,0,0,4253374,288327
"2013-03-01",282544,514340,2669991,152183,8176,593131,0,0,4220365,294332
"2013-03-02",269637,531356,2691086,149482,8772,595598,0,0,4245931,296061
"2013-03-03",311301,560031,3008438,142207,9754,680737,0,0,4712468,303752
"2013-03-04",302101,591441,2817670,158676,9134,690419,0,0,4569441,306717
"2013-03-05",292873,562082,2692152,158435,8471,676632,0,0,4390645,299211
"2013-03-06",275468,569548,2749681,161179,8489,656119,4054,81750,4506288,299518
"2013-03-07",263729,565211,2508129,158182,7894,647751,9809,185462,4346167,285975
"2013-03-08",246290,517432,2384370,148364,7658,613174,9293,167071,4093652,280448
"2013-03-09",249058,528110,2466418,154791,8288,611831,9559,171155,4199210,275255
"2013-03-10",271245,557970,2642610,166617,8776,650400,9460,180069,4487147,283005
"2013-03-11",283390,618083,2697621,166661,8858,676248,10122,178426,4639409,291724
"2013-03-12",270554,615136,2572113,155967,8340,667083,10166,170359,4469718,285913
"2013-03-13",268935,598224,2607492,157487,8232,642082,10052,175799,4468303,287758
"2013-03-14",257505,582274,2544284,143200,7899,632514,9700,153327,4330703,284748
"2013-03-15",242435,540913,2358736,126878,7786,596342,8207,129379,4010676,272221
"2013-03-16",247303,549905,2444872,139917,7599,600400,8056,144521,4142573,272065
"2013-03-17",274631,598074,2736508,156084,8617,656507,9610,162621,4602652,279082
"2013-03-18",281365,599950,2714808,150773,9744,673058,10592,152318,4592608,288182
"2013-03-19",260999,569524,2632994,131393,9825,666571,9248,136329,4416883,282719
"2013-03-20",252639,564197,2540687,126598,9153,639070,10147,128924,4271415,277973
"2013-03-21",254400,567921,2615657,130690,9816,641453,20496,263543,4503976,289921
"2013-03-22",247487,572224,2714288,130238,9105,643778,41339,515243,4873702,298812
"2013-03-23",259605,606852,2923810,142872,9898,677098,50520,598735,5269390,305523
"2013-03-24",294243,665603,3266784,166988,11420,742631,60540,727870,5936079,316477
"2013-03-25",286954,672108,3162818,162014,11084,750373,58919,725282,5829552,319603
"2013-03-26",267443,640153,3049702,159610,10895,732188,51543,720902,5632436,320076
"2013-03-27",257209,609974,2885254,150383,10491,708953,53094,725431,5400789,308701
"2013-03-28",247867,585193,2742554,142223,9562,668140,50541,692721,5138801,305650
"2013-03-29",237474,581987,2743694,140547,9362,671645,50490,683397,5118596,301643
"2013-03-30",234017,584668,2744385,140375,9682,655440,49577,688459,5106603,301460
"2013-03-31",258964,624074,2990218,154023,10125,692750,54479,741672,5526305,308909
"2013-04-01",271712,652099,3152936,163222,10229,741106,58811,780356,5830471,317141
"2013-04-02",268383,623354,2963070,158891,9350,725933,60933,793704,5603618,316966
"2013-04-03",263221,615307,2925200,157550,9183,727247,59853,814443,5572004,315939
"2013-04-04",272759,642210,2897829,163836,8632,794471,59395,834796,5673928,334066
"2013-04-05",275262,658615,2892588,170433,8435,768157,55448,825830,5654768,330283
"2013-04-06",256461,582497,2680768,152451,8908,664670,53152,824158,5223065,309714
"2013-04-07",286019,639320,3012485,172742,9910,727850,58635,876767,5783728,315300
"2013-04-08",279149,618371,2942164,163667,9626,755646,57300,842235,5668158,317189
"2013-04-09",254582,572013,2742239,150901,9287,724596,52373,816734,5322725,310839
"2013-04-10",258936,585601,2790104,158736,8818,719741,56598,845407,5423941,313192
"2013-04-11",251791,553754,2677720,149145,8488,677436,54302,797507,5170143,305581
"2013-04-12",245857,573430,2810715,150010,8797,672135,55631,812065,5328640,305349
"2013-04-13",253285,586434,2866608,161223,9588,678047,53694,874798,5483677,306265
"2013-04-14",291915,646298,3254346,182698,10564,730932,64999,975139,6156891,318767
"2013-04-15",274610,619912,3079701,168473,9767,728194,59395,923162,5863214,321517
"2013-04-16",266070,601966,3020034,162169,9057,728227,57692,909452,5754667,317070
"2013-04-17",255868,588602,2967457,155144,8872,710391,57131,870600,5614065,315418
"2013-04-18",254337,582825,2865552,155736,9077,684719,56258,898697,5507201,313694
"2013-04-19",239167,559372,2738971,147617,8397,666468,52367,879042,5291401,313213
"2013-04-20",231587,524483,2641703,152598,8417,637657,50096,899726,5146267,310157
"2013-04-21",283291,624432,3116243,178382,9706,706144,59620,1008141,5985959,321225
"2013-04-22",276230,616369,3036022,174420,10015,726201,59818,982034,5881109,322210
"2013-04-23",269355,605059,2953047,167739,9716,713443,58943,996981,5774283,318765
"2013-04-24",263553,587473,2847084,162236,8717,690884,55309,960916,5576172,319365
"2013-04-25",258056,582094,2894648,162322,8678,679894,57136,951854,5594682,320028
"2013-04-26",243821,570594,2801284,162965,8260,654758,53358,1069667,5564707,316938
"2013-04-27",261766,614875,3040067,188879,8467,641917,53511,1293557,6103039,314199
"2013-04-28",303703,671125,3746805,209929,9558,715100,63177,1328371,7047768,329666
"2013-04-29",241538,535040,2747912,157559,7662,595792,51963,1037452,5374918,310283
"2013-04-30",255646,568837,2653276,168637,7417,644004,57560,1128943,5484320,311778
"2013-05-01",259681,561065,2504876,170252,7224,662671,55571,1166500,5387840,309653
"2013-05-02",241059,558800,2677146,156228,8001,632920,53971,1086155,5414280,307119
"2013-05-03",226703,512871,2589384,120259,7273,621577,52329,701593,4831989,312969
"2013-05-04",242991,573447,2720798,162733,8055,621670,55772,1180078,5565544,307515
"2013-05-05",243539,552985,2852970,133859,8600,628354,56045,758124,5234476,317938
"2013-05-06",274414,635052,3082073,173358,9280,700292,65627,1217622,6157718,324252
"2013-05-07",267409,602172,2967974,174196,8554,669743,63793,1010793,5764634,322861
"2013-05-08",273983,609300,2981353,213155,8936,666779,62002,893347,5708855,315800
"2013-05-09",265582,596654,2849966,218002,8509,656928,64054,814590,5474285,307863
"2013-05-10",256227,569369,2734367,218585,7611,616838,58557,740098,5201652,302958
"2013-05-11",254256,573589,2829409,193298,8017,620246,59526,750587,5288928,306087
"2013-05-12",258248,572271,2864960,191940,8677,622677,60574,762899,5342246,308452
"2013-05-13",279932,617774,2987824,227791,9097,683176,64356,842951,5712901,312947
"2013-05-14",293508,644038,2991895,273946,8766,664081,65435,959039,5900708,304038
"2013-05-15",295920,630035,2894958,279665,9136,634503,63623,929844,5737684,300156
"2013-05-16",290977,621821,2828536,278498,9067,647880,60639,897210,5634628,297111
"2013-05-17",278923,604140,2784772,267805,8004,631669,60622,850825,5486760,293579
"2013-05-18",289233,628476,2895798,277996,8625,619329,61408,880900,5661765,293979
"2013-05-19",329614,695190,3275156,305732,9494,692619,68551,964000,6340356,305346
"2013-05-20",316285,683681,3231041,298317,9071,720931,69016,955813,6284155,309839
"2013-05-21",303183,648935,2983392,285344,8356,688507,64074,937032,5918823,305072
"2013-05-22",299017,644470,2962132,280856,8402,670320,65420,922162,5852779,304366
"2013-05-23",291332,628034,2910091,275367,7773,656351,63154,929473,5761575,302564
"2013-05-24",128230,291316,1384790,119741,3473,320966,29107,426316,2703939,228360
